game_id,season,week,season_type,date,neutral_site,conference_game,home_team,away_team,home_conference,away_conference,home_division,away_division,home_points,away_points,spread_home,n_books_spread,ml_home,ml_away,n_books_ml,dog,dog_team,fav_team,dog_conference,fav_conference,dog_line,dog_line_open,dog_spread_price,fav_spread_price,dog_ml,fav_ml,dog_source,dog_margin,dog_rest,fav_rest
401013355,2018,2,regular,2018-09-08,FALSE,FALSE,Wisconsin,New Mexico,Big Ten,Mountain West,fbs,fbs,45,14,-36.0,42,-28000.0,12000.0,3,away,New Mexico,Wisconsin,Mountain West,Big Ten,36.0,34.5,-110.0,-110.0,12000.0,-28000.0,spread,-31.0,6,7
401013356,2018,3,regular,2018-09-15,FALSE,FALSE,Wisconsin,BYU,Big Ten,FBS Independents,fbs,fbs,21,24,-23.5,42,-2000.0,1150.0,15,away,BYU,Wisconsin,FBS Independents,Big Ten,23.5,21.5,-110.0,-110.0,1150.0,-2000.0,spread,3.0,6,7
401013357,2018,1,regular,2018-08-25,FALSE,FALSE,Massachusetts,Duquesne,FBS Independents,NEC,fbs,fcs,63,15,-21.5,40,-1605.0,1050.0,6,away,Duquesne,Massachusetts,NEC,FBS Independents,21.5,23.5,-110.0,-110.0,1050.0,-1605.0,spread,-48.0,,
401013358,2018,2,regular,2018-09-08,FALSE,FALSE,Georgia Southern,Massachusetts,Sun Belt,FBS Independents,fbs,fbs,34,13,-1.5,42,-120.0,100.0,21,away,Massachusetts,Georgia Southern,FBS Independents,Sun Belt,1.5,2.5,-110.0,-110.0,100.0,-120.0,spread,-21.0,7,7
401013359,2018,3,regular,2018-09-15,FALSE,FALSE,Florida International,Massachusetts,Conference USA,FBS Independents,fbs,fbs,63,24,-3.5,42,-170.0,148.0,21,away,Massachusetts,Florida International,FBS Independents,Conference USA,3.5,3.5,-110.0,-110.0,148.0,-170.0,spread,-39.0,7,7
401013360,2018,4,regular,2018-09-22,FALSE,FALSE,Massachusetts,Charlotte,FBS Independents,Conference USA,fbs,fbs,49,31,-6.0,42,-235.0,195.0,21,away,Charlotte,Massachusetts,Conference USA,FBS Independents,6.0,10.5,-110.0,-110.0,195.0,-235.0,spread,-18.0,9,7
401013361,2018,5,regular,2018-09-29,FALSE,FALSE,Ohio,Massachusetts,Mid-American,FBS Independents,fbs,fbs,58,42,-11.5,42,-420.0,333.0,19,away,Massachusetts,Ohio,FBS Independents,Mid-American,11.5,14.0,-110.0,-110.0,333.0,-420.0,spread,-16.0,7,7
401013362,2018,6,regular,2018-10-06,FALSE,FALSE,Massachusetts,South Florida,FBS Independents,American Athletic,fbs,fbs,42,58,16.0,42,477.0,-650.0,19,home,Massachusetts,South Florida,FBS Independents,American Athletic,16.0,14.0,-110.0,-110.0,477.0,-650.0,spread,-16.0,7,13
401013363,2018,8,regular,2018-10-20,FALSE,FALSE,Massachusetts,Coastal Carolina,FBS Independents,Sun Belt,fbs,fbs,13,24,-2.5,42,-130.0,112.0,21,away,Coastal Carolina,Massachusetts,Sun Belt,FBS Independents,2.5,3.5,-109.0,-110.0,112.0,-130.0,spread,11.0,7,14
401013365,2018,10,regular,2018-11-03,FALSE,FALSE,Massachusetts,Liberty,FBS Independents,FBS Independents,fbs,fbs,62,59,1.5,42,-107.0,-110.0,21,home,Massachusetts,Liberty,FBS Independents,FBS Independents,1.5,,-110.0,-110.0,-107.0,-110.0,spread,3.0,7,14
