fiscal_quarter,earnings_date_amc,next_session,close_before,close_after,move_pct,volume_vs_median,dow
Q2 (Jan qtr),2000-02-08,2000-02-09,51.9680,53.2090,2.39,2.2,Wed
Q3 (Apr qtr),2000-05-23,2000-05-24,41.7650,45.5470,9.06,1.9,Wed
Q4 (Jul qtr),2000-08-08,2000-08-09,54.1140,56.0240,3.53,2.3,Wed
Q1 (Oct qtr),2000-11-06,2000-11-07,45.5470,46.8880,2.94,1.5,Tue
Q2 (Jan qtr),2001-02-06,2001-02-07,29.5370,25.6600,-13.13,4.3,Wed
Q3 (Apr qtr),2001-05-01,2001-05-02,14.7060,16.5230,12.36,1.8,Wed
Q4 (Jul qtr),2001-08-07,2001-08-08,15.9130,14.8570,-6.64,1.5,Wed
Q1 (Oct qtr),2001-11-05,2001-11-06,14.7880,15.2610,3.20,1.7,Tue
Q2 (Jan qtr),2002-02-06,2002-02-07,15.3760,14.0950,-8.33,2.5,Thu
Q3 (Apr qtr),2002-05-07,2002-05-08,10.8060,13.4430,24.40,2.8,Wed
Q4 (Jul qtr),2002-08-06,2002-08-07,9.9730,10.7330,7.62,1.9,Wed
Q1 (Oct qtr),2002-11-05,2002-11-06,10.4850,10.7060,2.11,1.5,Wed
Q2 (Jan qtr),2003-02-04,2003-02-05,10.9060,10.9060,0.00,1.7,Wed
Q3 (Apr qtr),2003-05-05,2003-05-06,12.7140,13.1350,3.31,1.8,Tue
Q4 (Jul qtr),2003-08-05,2003-08-06,15.5830,14.5820,-6.42,2.3,Wed
Q1 (Oct qtr),2003-11-05,2003-11-06,18.0100,18.9190,5.05,3.1,Thu
Q2 (Jan qtr),2004-02-03,2004-02-04,21.8170,19.8960,-8.81,3.6,Wed
Q3 (Apr qtr),2004-05-11,2004-05-12,18.3840,18.1430,-1.31,1.9,Wed
Q4 (Jul qtr),2004-08-10,2004-08-11,16.9030,15.1110,-10.60,3.7,Wed
Q1 (Oct qtr),2004-11-09,2004-11-10,16.3180,15.2350,-6.64,3.5,Wed
Q2 (Jan qtr),2005-02-08,2005-02-09,15.0700,14.5660,-3.34,1.8,Wed
Q3 (Apr qtr),2005-05-10,2005-05-11,15.0440,15.3260,1.87,2.3,Wed
Q4 (Jul qtr),2005-08-09,2005-08-10,16.2020,15.0780,-6.94,5.1,Wed
Q1 (Oct qtr),2005-11-09,2005-11-10,14.6640,14.1700,-3.37,3.2,Thu
Q2 (Jan qtr),2006-02-07,2006-02-08,14.9450,16.0290,7.25,3.7,Wed
Q3 (Apr qtr),2006-05-09,2006-05-10,17.9120,17.1440,-4.29,2.0,Wed
Q4 (Jul qtr),2006-08-08,2006-08-09,14.2860,16.3430,14.40,4.8,Wed
Q1 (Oct qtr),2006-11-08,2006-11-09,20.7370,22.0650,6.40,4.8,Thu
Q2 (Jan qtr),2007-02-06,2007-02-07,22.5380,23.2080,2.97,2.2,Wed
